timestamp,open,high,low,close,volume,Bitcoin_Specific,Geopolitics,Industry_Event,Macro_Economics,Politics,Regulation,MA50,MA200,Daily Return,return
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.39,0,0,0,0,0,0,,,,
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.48,0,0,0,0,0,0,,,-3.27,-0.032654478290757405
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.5,0,0,0,0,0,0,,,5.44,0.054445275499554135
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.97,0,0,0,0,0,0,,,0.12,0.0012457521892561552
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.09,0,0,0,0,0,0,,,0.06,0.000630939705824396
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.7,0,0,0,0,0,0,,,5.43,0.05425513844063201
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.68,0,0,0,0,0,0,,,4.99,0.049920082495488405
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64,0,0,0,0,0,0,,,-1.1,-0.010963404572955193
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.52,0,0,0,0,0,0,,,-2.96,-0.02957057986737799
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.78,0,0,0,0,0,0,,,4.85,0.048512617424940174
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.03,0,0,0,0,0,0,,,-2.16,-0.02159443309885789
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.49,0,0,0,0,0,0,,,2.06,0.02056979978827944
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.76,0,0,0,0,0,0,,,-0.91,-0.00911914262466118
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.13,0,0,0,0,0,0,,,8.63,0.08626888638454133
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.3,0,0,0,0,0,0,,,0.13,0.0012939826402011967
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.07,0,0,0,0,0,0,,,-1.15,-0.011494761041602186
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.74,0,0,0,0,0,0,,,2.22,0.02216396540829657
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.75,0,0,0,0,0,0,,,0.03,0.00030067494794261407
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.89,0,0,0,0,0,0,,,-2.4,-0.024031063396426022
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.64,0,0,0,0,0,0,,,-0.68,-0.006820506337842036
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.69,0,0,0,0,0,0,,,1.08,0.010839644309707408
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.56,0,0,0,0,0,0,,,-0.61,-0.006143522858781392
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.94,0,0,0,0,0,0,,,-3.2,-0.03200051598874043
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.53,0,0,0,0,0,0,,,0.41,0.0041025543398076625
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.16,0,0,0,0,0,0,,,-1.17,-0.011662519255836057
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.49,0,0,0,0,0,0,,,3.29,0.032901788604629445
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.54,0,0,0,0,0,0,,,3.4,0.0339605339524085
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.85,0,0,0,0,0,0,,,5.24,0.05238690237629329
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.07,0,0,0,0,0,0,,,-0.78,-0.007753186668529755
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.74,0,0,0,0,0,0,,,2.28,0.022757546339150503
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.02,0,0,0,0,0,0,,,-1.69,-0.01685235582942035
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.07,0,0,0,0,0,0,,,0.34,0.0033914650979538497
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91,0,0,0,0,0,0,,,-0.57,-0.005658199967819688
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.13,0,0,0,0,0,0,,,-0.42,-0.004208322125786812
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.18,0,0,0,0,0,0,,,-1.02,-0.01024726007937804
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.42,0,0,0,0,0,0,,,4.51,0.04512548629882285
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.71,0,0,0,0,0,0,,,1.66,0.016641628624100457
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.11,0,0,0,0,0,0,,,0.43,0.004270364306180774
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.84,0,0,0,0,0,0,,,0.83,0.008286349838440676
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.48,0,0,0,0,0,0,,,2.59,0.025942264061323606
2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.08,0,0,0,0,0,0,,,-2.95,-0.02954367473588293
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.4,0,0,0,0,0,0,,,3.77,0.03768335426007141
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06,0,0,0,0,0,0,,,1.01,0.01011241230627169
2020-02-13,10325.33,10500.0,10080.0,10229.63,79344.36,0,0,0,0,0,0,,,-0.94,-0.009376882300420442
2020-02-14,10227.78,10381.56,10111.37,10344.36,47038.48,0,0,0,0,0,0,,,1.12,0.011215459405667705
2020-02-15,10344.36,10375.0,9801.0,9904.72,57657.2,0,0,0,0,0,0,,,-4.25,-0.04250045435387029
2020-02-16,9904.46,10050.0,9638.12,9917.27,60024.0,0,0,0,0,0,0,,,0.13,0.0012670726683845501
2020-02-17,9910.7,9964.16,9452.67,9706.0,70261.01,0,0,0,0,0,0,,,-2.13,-0.021303241718739208
2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.12,0,0,0,0,0,0,,,4.73,0.04726045744900054
2020-02-19,10164.78,10250.0,9350.0,9593.79,55162.59,0,0,0,0,0,0,8928.34,,-5.62,-0.0561668753953628
2020-02-20,9594.65,9699.0,9400.0,9596.42,60152.34,0,0,0,0,0,0,8976.25,,0.03,0.00027413566484146834
2020-02-21,9597.21,9755.51,9550.21,9677.05,42181.55,0,0,0,0,0,0,9030.48,,0.84,0.00840209161333072
2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.76,0,0,0,0,0,0,9076.6,,-0.27,-0.002706403294392312
2020-02-23,9650.85,9990.0,9645.0,9936.4,37702.09,0,0,0,0,0,0,9128.25,,2.96,0.02958700053673957
2020-02-24,9936.4,9990.0,9473.56,9656.13,55796.6,0,0,0,0,0,0,9174.19,,-2.82,-0.028206392657300516
2020-02-25,9655.52,9675.0,9250.0,9315.84,54379.34,0,0,0,0,0,0,9205.35,,-3.52,-0.03524082629376357
2020-02-26,9316.48,9377.44,8633.63,8785.25,92130.35,0,0,0,0,0,0,9218.15,,-5.7,-0.056955679788403435
2020-02-27,8786.0,8971.77,8531.0,8823.21,72483.58,0,0,0,0,0,0,9233.49,,0.43,0.00432087874562459
2020-02-28,8823.25,8900.0,8445.0,8692.91,71155.21,0,0,0,0,0,0,9251.0,,-1.48,-0.014767867930152279
2020-02-29,8690.8,8790.0,8523.55,8523.61,36748.18,0,0,0,0,0,0,9257.53,,-1.95,-0.01947564164359228
2020-03-01,8523.61,8750.0,8411.0,8531.88,43892.2,0,0,0,0,0,0,9267.77,,0.1,0.0009702461750360492
